# Flyway V2 — Full E-Commerce Seed Catalog

I’ve structured this around **152 products + exactly 400 SKUs**, with `P001–P152` as product IDs and `S001–S400` as SKU IDs.

The prices and stock below are **illustrative seed-data values** rather than live retail prices.

## 1. Product Attribute Categories

| Attribute Category | JSONB Attributes                          |
| ------------------ | ----------------------------------------- |
| Smartphone Specs   | `color`, `storage`                        |
| Laptop Specs       | `ram`, `storage`, `color`                 |
| Audio Specs        | `color`                                   |
| Shoe Sizes         | `size_us`, `color`                        |
| Apparel Sizes      | `size`, `color`                           |
| Beauty Shades      | `shade`                                   |
| Book Editions      | `format`                                  |
| Grocery Pack       | `pack_size`                               |
| Display Specs      | `size_inches`, `resolution`               |
| General Variants   | `color`, `size`, `capacity` as applicable |

---

# 2. Products — 152 Products

## Electronics — P001 to P019

| ID   | Brand      | Subcategory          | Product                       | Variant Pattern       | Attr Category    |
| ---- | -------------- | ---------------- | ----------------------- | --------------- | ---------------- |
| P020 | Levi's         | Men's Clothing   | 511 Slim Jeans          | size + color    | Apparel Sizes    |
| P021 | Allen Solly    | Men's Clothing   | Slim Fit Oxford Shirt   | size + color    | Apparel Sizes    |
| P022 | Peter England  | Men's Clothing   | Regular Formal Shirt    | size + color    | Apparel Sizes    |
| P023 | Raymond        | Men's Clothing   | Classic Formal Trousers | size + color    | Apparel Sizes    |
| P024 | Uniqlo         | Women's Clothing | Supima Cotton T-Shirt   | size only       | General Variants |
| P025 | Zara           | Women's Clothing | Relaxed Fit Blouse      | size + color    | Apparel Sizes    |
| P026 | H&M            | Women's Clothing | Ribbed Midi Dress       | size + color    | Apparel Sizes    |
| P027 | FabIndia       | Women's Clothing | Cotton Kurta            | size + color    | Apparel Sizes    |
| P028 | Manyavar       | Women's Clothing | Embroidered Kurta       | size + color    | Apparel Sizes    |
| P029 | W for Woman    | Women's Clothing | Straight Kurta Set      | size + color    | Apparel Sizes    |
| P030 | Nike           | Footwear         | Air Max 270             | size + color    | Shoe Sizes       |
| P031 | Adidas         | Footwear         | Ultraboost Light        | size + color    | Shoe Sizes       |
| P032 | Puma           | Footwear         | Velocity Nitro 3        | size + color    | Shoe Sizes       |
| P033 | The North Face | Footwear         | VECTIV Enduris          | size + color    | Shoe Sizes       |
| P034 | Ray-Ban        | Accessories      | Aviator Classic         | color only      | General Variants |
| P035 | Van Heusen     | Accessories      | Leather Finish Belt     | size only       | General Variants |
| P036 | Uniqlo         | Accessories      | Round Mini Shoulder Bag | color only      | General Variants |
| P037 | Nike           | Accessories      | Heritage Backpack       | color only      | General Variants |
| P038 | Adidas         | Accessories      | Classic 3S Cap          | size only       | General Variants |

## Home & Kitchen — P039 to P057

| ID   | Brand      | Subcategory        | Product                  | Variant Pattern | Attr Category    |
| ---- | ---------- | ------------------ | ------------------------ | --------------- | ---------------- |
| P039 | IKEA       | Furniture          | MALM 6-Drawer Chest      | generic         | General Variants |
| P040 | IKEA       | Furniture          | LACK Coffee Table        | color only      | General Variants |
| P041 | IKEA       | Furniture          | BILLY Bookcase           | color only      | General Variants |
| P042 | Philips    | Kitchen Appliances | Airfryer 3000 Series     | capacity        | General Variants |
| P043 | Dyson      | Home Appliances    | V15 Detect               | no variants     | General Variants |
| P044 | Bosch      | Kitchen Appliances | Serie 4 Dishwasher       | capacity        | General Variants |
| P045 | Prestige   | Kitchen Appliances | Air Fryer Pro            | capacity        | General Variants |
| P046 | Hawkins    | Kitchen Appliances | Contura Pressure Cooker  | capacity        | General Variants |
| P047 | KENT       | Kitchen Appliances | Grand RO Water Purifier  | generic         | General Variants |
| P048 | LG         | Home Appliances    | 6.5kg Front Load Washer  | capacity        | General Variants |
| P049 | Bosch      | Home Appliances    | 8kg Front Load Washer    | capacity        | General Variants |
| P050 | Bajaj      | Home Appliances    | Maharaja Tower Fan       | color only      | General Variants |
| P051 | Havells    | Home Appliances    | Aqua Plus Water Heater   | capacity        | General Variants |
| P052 | Usha       | Home Appliances    | Mist Air Icy Fan         | color only      | General Variants |
| P053 | Butterfly  | Kitchenware        | Rapid 3 Burner Gas Stove | generic         | General Variants |
| P054 | Crompton   | Kitchenware        | Steel Essential Kettle   | capacity        | General Variants |
| P055 | Wonderchef | Kitchenware        | Granite Fry Pan          | size only       | General Variants |
| P056 | Prestige   | Kitchenware        | Omega Deluxe Pan         | size only       | General Variants |
| P057 | Hawkins    | Kitchenware        | Futura Nonstick Tawa     | size only       | General Variants |

## Beauty & Personal Care — P058 to P076

| ID   | Brand             | Subcategory | Product                       | Variant Pattern | Attr Category    |
| ---- | ----------------- | ----------- | ----------------------------- | --------------- | ---------------- |
| P058 | The Ordinary      | Skincare    | Niacinamide 10% + Zinc 1%     | generic         | General Variants |
| P059 | Nivea             | Skincare    | Soft Moisturizing Cream       | pack size       | General Variants |
| P060 | Clinique          | Skincare    | Moisture Surge 100H           | pack size       | General Variants |
| P061 | Neutrogena        | Skincare    | Hydro Boost Water Gel         | pack size       | General Variants |
| P062 | Mamaearth         | Skincare    | Vitamin C Face Serum          | generic         | General Variants |
| P063 | Minimalist        | Skincare    | 2% Salicylic Acid Serum       | generic         | General Variants |
| P064 | Forest Essentials | Skincare    | Facial Tonic Mist             | pack size       | General Variants |
| P065 | Plum              | Skincare    | Green Tea Face Wash           | pack size       | General Variants |
| P066 | L'Oréal           | Makeup      | True Match Foundation         | shade           | Beauty Shades    |
| P067 | Maybelline        | Makeup      | Fit Me Foundation             | shade           | Beauty Shades    |
| P068 | Lakmé             | Makeup      | 9to5 Primer + Matte Lip Color | shade           | Beauty Shades    |
| P069 | Nykaa             | Makeup      | SkinGenius Foundation         | shade           | Beauty Shades    |
| P070 | Biotique          | Makeup      | Bio Coconut Whitening Cream   | pack size       | General Variants |
| P071 | Dove              | Hair Care   | Intense Repair Shampoo        | pack size       | General Variants |
| P072 | L'Oréal           | Hair Care   | Absolut Repair Shampoo        | pack size       | General Variants |
| P073 | Mamaearth         | Hair Care   | Onion Hair Oil                | pack size       | General Variants |
| P074 | Nivea             | Grooming    | Men Sensitive Shaving Gel     | pack size       | General Variants |
| P075 | Nykaa             | Grooming    | ManGlow Beard Wash            | pack size       | General Variants |
| P076 | Plum              | Grooming    | Green Tea Shave Gel           | pack size       | General Variants |

## Sports & Fitness — P077 to P095

| ID   | Brand                       | Subcategory   | Product                     | Variant Pattern | Attr Category    |
| ---- | --------------------------- | ------------- | --------------------------- | --------------- | ---------------- |
| P077 | Under Armour                | Running       | Charged Assert 10           | size + color    | Shoe Sizes       |
| P078 | Decathlon                   | Running       | Kalenji Run Comfort         | size + color    | Shoe Sizes       |
| P079 | Nivia                       | Running       | Running Shoes Racer         | size + color    | Shoe Sizes       |
| P080 | Vector X                    | Running       | Sprint Running Shoes        | size + color    | Shoe Sizes       |
| P081 | Decathlon                   | Gym Equipment | 500 Adjustable Dumbbell     | generic         | General Variants |
| P082 | Nivia                       | Gym Equipment | Hex Dumbbell 10kg           | generic         | General Variants |
| P083 | Cosco                       | Gym Equipment | Resistance Tube Set         | generic         | General Variants |
| P084 | Vector X                    | Gym Equipment | Power Training Gloves       | size only       | General Variants |
| P085 | Decathlon                   | Yoga          | Basic Yoga Mat              | color only      | General Variants |
| P086 | Nivia                       | Yoga          | TPE Yoga Mat                | color only      | General Variants |
| P087 | Cosco                       | Yoga          | Yoga Block Pair             | color only      | General Variants |
| P088 | Wilson                      | Outdoor       | Pro Staff 97 Tennis Racket  | generic         | General Variants |
| P089 | Yonex                       | Outdoor       | Astrox 100ZZ                | generic         | General Variants |
| P090 | SS (Sareen Sports)          | Outdoor       | Skyer Cricket Bat           | size only       | General Variants |
| P091 | SG (Sanspareils Greenlands) | Outdoor       | Players English Willow Bat  | size only       | General Variants |
| P092 | Decathlon                   | Outdoor       | Quechua Hiking Backpack 40L | color only      | General Variants |
| P093 | Nivia                       | Outdoor       | Storm Football              | generic         | General Variants |
| P094 | Cosco                       | Outdoor       | Club Volleyball             | generic         | General Variants |
| P095 | Wilson                      | Outdoor       | NBA Official Basketball     | size only       | General Variants |

## Books & Stationery — P096 to P114

| ID   | Brand                | Subcategory          | Product                               | Variant Pattern | Attr Category    |
| ---- | -------------------- | -------------------- | ------------------------------------- | --------------- | ---------------- |
| P096 | Penguin Random House | Fiction              | The Midnight Library                  | format          | Book Editions    |
| P097 | Penguin Random House | Fiction              | 1984                                  | format          | Book Editions    |
| P098 | Rupa Publications    | Fiction              | The Silent Patient                    | format          | Book Editions    |
| P099 | Amar Chitra Katha    | Fiction              | Mahabharata                           | format          | Book Editions    |
| P100 | Penguin Random House | Non-Fiction          | Atomic Habits                         | format          | Book Editions    |
| P101 | McGraw Hill          | Non-Fiction          | The Lean Startup                      | format          | Book Editions    |
| P102 | Pearson              | Non-Fiction          | Sapiens Study Guide                   | format          | Book Editions    |
| P103 | O'Reilly             | Technology           | Clean Code                            | format          | Book Editions    |
| P104 | O'Reilly             | Technology           | Designing Data-Intensive Applications | format          | Book Editions    |
| P105 | McGraw Hill          | Technology           | Cracking the Coding Interview         | format          | Book Editions    |
| P106 | Pearson              | Technology           | Java Programming Complete             | format          | Book Editions    |
| P107 | S. Chand             | Technology           | Data Structures in C                  | format          | Book Editions    |
| P108 | Arihant              | Technology           | Python for Competitive Programming    | format          | Book Editions    |
| P109 | Moleskine            | Notebooks & Supplies | Classic Notebook Large                | generic         | General Variants |
| P110 | Crossword            | Notebooks & Supplies | Premium Ruled Notebook                | color only      | General Variants |
| P111 | Rupa Publications    | Notebooks & Supplies | Executive Journal                     | color only      | General Variants |
| P112 | S. Chand             | Notebooks & Supplies | Graph Paper Notebook                  | generic         | General Variants |
| P113 | Arihant              | Notebooks & Supplies | Exam Planner Notebook                 | size only       | General Variants |
| P114 | Penguin Random House | Notebooks & Supplies | Reading Journal                       | generic         | General Variants |

## Grocery — P115 to P133

| ID   | Brand        | Subcategory | Product                 | Variant Pattern | Attr Category |
| ---- | ------------ | ----------- | ----------------------- | --------------- | ------------- |
| P115 | Nestlé       | Beverages   | Nescafé Classic Coffee  | pack size       | Grocery Pack  |
| P116 | Coca-Cola    | Beverages   | Coca-Cola Original      | pack size       | Grocery Pack  |
| P117 | Amul         | Beverages   | Amul Taaza Milk         | pack size       | Grocery Pack  |
| P118 | Tata         | Beverages   | Tata Tea Gold           | pack size       | Grocery Pack  |
| P119 | Mother Dairy | Beverages   | Toned Milk              | pack size       | Grocery Pack  |
| P120 | Britannia    | Snacks      | Good Day Cashew Cookies | pack size       | Grocery Pack  |
| P121 | Parle        | Snacks      | Hide & Seek Biscuits    | pack size       | Grocery Pack  |
| P122 | ITC          | Snacks      | Sunfeast Dark Fantasy   | pack size       | Grocery Pack  |
| P123 | Nestlé       | Snacks      | Munch Chocolate Bar     | pack size       | Grocery Pack  |
| P124 | Dabur        | Snacks      | Real Fruit Drink        | pack size       | Grocery Pack  |
| P125 | Kellogg's    | Breakfast   | Corn Flakes             | pack size       | Grocery Pack  |
| P126 | MTR          | Breakfast   | 3 Minute Breakfast Poha | pack size       | Grocery Pack  |
| P127 | Aashirvaad   | Breakfast   | Multigrain Atta         | pack size       | Grocery Pack  |
| P128 | Tata         | Breakfast   | Sampann Poha            | pack size       | Grocery Pack  |
| P129 | Fortune      | Pantry      | Sunflower Oil           | pack size       | Grocery Pack  |
| P130 | Patanjali    | Pantry      | Dalia                   | pack size       | Grocery Pack  |
| P131 | Unilever     | Pantry      | Kissan Tomato Ketchup   | pack size       | Grocery Pack  |
| P132 | Amul         | Pantry      | Pure Ghee               | pack size       | Grocery Pack  |
| P133 | Mother Dairy | Pantry      | Paneer Fresh            | pack size       | Grocery Pack  |

## Automotive — P134 to P152

| ID   | Brand        | Subcategory       | Product                     | Variant Pattern | Attr Category    |
| ---- | ------------ | ----------------- | --------------------------- | --------------- | ---------------- |
| P134 | 3M           | Car Accessories   | Car Care Microfiber Cloth   | pack size       | General Variants |
| P135 | Bosch India  | Car Accessories   | Car Air Filter              | generic         | General Variants |
| P136 | TVS          | Car Accessories   | Car Battery Charger         | generic         | General Variants |
| P137 | CEAT         | Car Accessories   | Tubeless Valve Kit          | generic         | General Variants |
| P138 | Castrol      | Car Care          | Magnatec 5W-30              | generic         | General Variants |
| P139 | Motul        | Car Care          | 8100 X-Cess 5W-40           | generic         | General Variants |
| P140 | Gulf Oil     | Car Care          | Formula G 5W-30             | generic         | General Variants |
| P141 | 3M           | Car Care          | Perfect-It Rubbing Compound | pack size       | General Variants |
| P142 | Michelin     | Replacement Parts | Energy XM2+ Tyre            | size only       | General Variants |
| P143 | MRF          | Replacement Parts | Perfinza Tyre               | size only       | General Variants |
| P144 | Apollo Tyres | Replacement Parts | Alnac 4G Tyre               | size only       | General Variants |
| P145 | CEAT         | Replacement Parts | Milaze Tyre                 | size only       | General Variants |
| P146 | TVS          | Replacement Parts | Eco Grip 2W Tyre            | size only       | General Variants |
| P147 | Bosch India  | Replacement Parts | Platinum Spark Plug         | generic         | General Variants |
| P148 | CEAT         | Replacement Parts | Car Brake Pad Set           | generic         | General Variants |
| P149 | 3M           | Car Accessories   | 12V Car Vacuum Cleaner      | color only      | General Variants |
| P150 | TVS          | Car Accessories   | Portable Tyre Inflator      | generic         | General Variants |
| P151 | Castrol      | Car Care          | Engine Flush                | pack size       | General Variants |
| P152 | Motul        | Car Care          | Chain Clean                 | pack size       | General Variants |

---

# 3. SKU Stock — Exactly 400 SKUs

## Electronics — S001 to S056

| SKU ID | Product ID | SKU                       | Variant    | SKU Attributes JSONB                               | Price ₹ | Promo ₹ | Stock |
| ------ | ---------- | ------------------------- | ---------- | -------------------------------------------------- | ------: | ------: | ----: |
| S001   | P001       | `APPLE-IP17-BLK-128`      | BLK-128    | `{"color":"Black","storage":"128GB"}`              |  52,380 |       — |   116 |
| S002   | P001       | `APPLE-IP17-BLK-256`      | BLK-256    | `{"color":"Black","storage":"256GB"}`              |  56,570 |       — |    24 |
| S003   | P001       | `APPLE-IP17-SLV-128`      | SLV-128    | `{"color":"Silver","storage":"128GB"}`             |  53,430 |       — |    84 |
| S004   | P001       | `APPLE-IP17-SLV-256`      | SLV-256    | `{"color":"Silver","storage":"256GB"}`             |  57,620 |  47,250 |    11 |
| S005   | P002       | `SAMSUNG-GS26-BLK-128`    | BLK-128    | `{"color":"Black","storage":"128GB"}`              |  68,520 |       — |    50 |
| S006   | P002       | `SAMSUNG-GS26-BLK-256`    | BLK-256    | `{"color":"Black","storage":"256GB"}`              |  74,000 |       — |   110 |
| S007   | P002       | `SAMSUNG-GS26-SLV-128`    | SLV-128    | `{"color":"Silver","storage":"128GB"}`             |  69,890 |       — |   107 |
| S008   | P002       | `SAMSUNG-GS26-SLV-256`    | SLV-256    | `{"color":"Silver","storage":"256GB"}`             |  75,370 |       — |    85 |
| S009   | P003       | `GOOGLE-PX11-BLK-128`     | BLK-128    | `{"color":"Black","storage":"128GB"}`              |  54,640 |  49,180 |    89 |
| S010   | P003       | `GOOGLE-PX11-BLK-256`     | BLK-256    | `{"color":"Black","storage":"256GB"}`              |  59,010 |       — |    50 |
| S011   | P003       | `GOOGLE-PX11-SLV-128`     | SLV-128    | `{"color":"Silver","storage":"128GB"}`             |  55,730 |       — |   110 |
| S012   | P003       | `GOOGLE-PX11-SLV-256`     | SLV-256    | `{"color":"Silver","storage":"256GB"}`             |  60,100 |       — |    99 |
| S013   | P004       | `LAVA-TAB11-BLK-128`      | BLK-128    | `{"color":"Black","storage":"128GB"}`              |  25,180 |  20,650 |    75 |
| S014   | P004       | `LAVA-TAB11-BLK-256`      | BLK-256    | `{"color":"Black","storage":"256GB"}`              |  27,190 |       — |    52 |
| S015   | P004       | `LAVA-TAB11-SLV-128`      | SLV-128    | `{"color":"Silver","storage":"128GB"}`             |  25,680 |       — |    20 |
| S016   | P004       | `LAVA-TAB11-SLV-256`      | SLV-256    | `{"color":"Silver","storage":"256GB"}`             |  27,700 |       — |    17 |
| S017   | P005       | `ONEPLUS-OP14-BLK-128`    | BLK-128    | `{"color":"Black","storage":"128GB"}`              |  40,530 |       — |    29 |
| S018   | P005       | `ONEPLUS-OP14-BLK-256`    | BLK-256    | `{"color":"Black","storage":"256GB"}`              |  43,780 |  40,280 |   115 |
| S019   | P005       | `ONEPLUS-OP14-SLV-128`    | SLV-128    | `{"color":"Silver","storage":"128GB"}`             |  41,340 |       — |    48 |
| S020   | P005       | `ONEPLUS-OP14-SLV-256`    | SLV-256    | `{"color":"Silver","storage":"256GB"}`             |  44,590 |       — |   112 |
| S021   | P006       | `MICRO-INN3-BLK-128`      | BLK-128    | `{"color":"Black","storage":"128GB"}`              |  35,880 |       — |    90 |
| S022   | P006       | `MICRO-INN3-BLK-256`      | BLK-256    | `{"color":"Black","storage":"256GB"}`              |  38,750 |  31,780 |   114 |
| S023   | P006       | `MICRO-INN3-SLV-128`      | SLV-128    | `{"color":"Silver","storage":"128GB"}`             |  36,600 |       — |    42 |
| S024   | P006       | `MICRO-INN3-SLV-256`      | SLV-256    | `{"color":"Silver","storage":"256GB"}`             |  39,470 |       — |    35 |
| S025   | P007       | `DELL-IN16P-16-512-BLK`   | 16-512-BLK | `{"ram":"16GB","storage":"512GB","color":"Black"}` | 110,200 |       — |    92 |
| S026   | P007       | `DELL-IN16P-16-1TB-SLV`   | 16-1TB-SLV | `{"ram":"16GB","storage":"1TB","color":"Silver"}`  | 127,830 |       — |    40 |
| S027   | P007       | `DELL-IN16P-32-1TB-BLK`   | 32-1TB-BLK | `{"ram":"32GB","storage":"1TB","color":"Black"}`   | 136,640 | 122,980 |    76 |
| S028   | P007       | `DELL-IN16P-32-1TB-SLV`   | 32-1TB-SLV | `{"ram":"32GB","storage":"1TB","color":"Silver"}`  | 138,850 |       — |    90 |
| S029   | P008       | `LENOVO-TPE16-16-512-BLK` | 16-512-BLK | `{"ram":"16GB","storage":"512GB","color":"Black"}` | 109,820 |       — |    69 |
| S030   | P008       | `LENOVO-TPE16-16-1TB-SLV` | 16-1TB-SLV | `{"ram":"16GB","storage":"1TB","color":"Silver"}`  | 127,390 |       — |    13 |
| S031   | P008       | `LENOVO-TPE16-32-1TB-BLK` | 32-1TB-BLK | `{"ram":"32GB","storage":"1TB","color":"Black"}`   | 136,180 | 122,560 |    76 |
| S032   | P008       | `LENOVO-TPE16-32-1TB-SLV` | 32-1TB-SLV | `{"ram":"32GB","storage":"1TB","color":"Silver"}`  | 138,370 |       — |    30 |
| S033   | P009       | `ASUS-VBS16-16-512-BLK`   | 16-512-BLK | `{"ram":"16GB","storage":"512GB","color":"Black"}` |  61,920 |       — |    36 |
| S034   | P009       | `ASUS-VBS16-16-1TB-SLV`   | 16-1TB-SLV | `{"ram":"16GB","storage":"1TB","color":"Silver"}`  |  71,830 |       — |    87 |
| S035   | P009       | `ASUS-VBS16-32-1TB-BLK`   | 32-1TB-BLK | `{"ram":"32GB","storage":"1TB","color":"Black"}`   |  76,780 |       — |    81 |
| S036   | P009       | `ASUS-VBS16-32-1TB-SLV`   | 32-1TB-SLV | `{"ram":"32GB","storage":"1TB","color":"Silver"}`  |  78,020 |  71,780 |    25 |
| S037   | P010       | `ONEPLUS-OPPAD3-BLK-128`  | BLK-128    | `{"color":"Black","storage":"128GB"}`              |  42,770 |       — |    38 |
| S038   | P010       | `ONEPLUS-OPPAD3-BLK-256`  | BLK-256    | `{"color":"Black","storage":"256GB"}`              |  46,190 |       — |    58 |
| S039   | P010       | `ONEPLUS-OPPAD3-SLV-128`  | SLV-128    | `{"color":"Silver","storage":"128GB"}`             |  43,630 |       — |    38 |
| S040   | P010       | `ONEPLUS-OPPAD3-SLV-256`  | SLV-256    | `{"color":"Silver","storage":"256GB"}`             |  47,050 |  41,400 |    12 |
| S041   | P011       | `PORT-MUFFM2-BLK`         | BLK        | `{"color":"Black"}`                                |  18,160 |       — |    75 |
| S042   | P011       | `PORT-MUFFM2-SLV`         | SLV        | `{"color":"Silver"}`                               |  18,530 |       — |    35 |
| S043   | P012       | `NOTHING-EAR3-BLK`        | BLK        | `{"color":"Black"}`                                |   6,790 |       — |    38 |
| S044   | P012       | `NOTHING-EAR3-SLV`        | SLV        | `{"color":"Silver"}`                               |   6,930 |       — |     9 |
| S045   | P013       | `NOISE-BXPR-BLK`          | BLK        | `{"color":"Black"}`                                |  31,000 |  25,420 |    76 |
| S046   | P014       | `BOAT-LUNPRO-BLK`         | BLK        | `{"color":"Black"}`                                |  19,420 |       — |    26 |
| S047   | P014       | `BOAT-LUNPRO-SLV`         | SLV        | `{"color":"Silver"}`                               |  19,810 |       — |   101 |
| S048   | P015       | `LOGI-MXBRIO-STD`         | STD        | `{"color":"Black"}`                                |   9,150 |       — |    22 |
| S049   | P016       | `SONY-WH6-BLK`            | BLK        | `{"color":"Black"}`                                |  34,990 |  31,490 |     8 |
| S050   | P016       | `SONY-WH6-SLV`            | SLV        | `{"color":"Silver"}`                               |  35,490 |       — |   101 |
| S051   | P017       | `LG-27GS6-27-QHD`         | 27-QHD     | `{"size_inches":"27","resolution":"2560x1440"}`    |  42,180 |       — |    97 |
| S052   | P017       | `LG-27GS6-32-4K`          | 32-4K      | `{"size_inches":"32","resolution":"3840x2160"}`    |  52,300 |       — |    12 |
| S053   | P018       | `SAMSUNG-ODG6-27-QHD`     | 27-QHD     | `{"size_inches":"27","resolution":"2560x1440"}`    |  11,010 |       — |    58 |
| S054   | P018       | `SAMSUNG-ODG6-32-4K`      | 32-4K      | `{"size_inches":"32","resolution":"3840x2160"}`    |  13,650 |  11,190 |    19 |
| S055   | P019       | `ZEBRO-TWK-BLK`           | BLK        | `{"color":"Black"}`                                |   6,440 |       — |    85 |
| S056   | P019       | `ZEBRO-TWK-SLV`           | SLV        | `{"color":"Silver"}`                               |   6,560 |       — |    43 |

## Fashion — S057 to S123

| SKU ID | Product ID | SKU                     | Variant | SKU Attributes JSONB              | Price ₹ | Promo ₹ | Stock |
| ------ | ---------- | ----------------------- | ------- | --------------------------------- | ------: | ------: | ----: |
| S057   | P020       | `LEVIS-511SL-S-BLK`     | S-BLK   | `{"size":"S","color":"Black"}`    |   4,570 |       — |    67 |
| S058   | P020       | `LEVIS-511SL-M-BLK`     | M-BLK   | `{"size":"M","color":"Black"}`    |   4,570 |   3,880 |    35 |
| S059   | P020       | `LEVIS-511SL-L-BLK`     | L-BLK   | `{"size":"L","color":"Black"}`    |   4,570 |       — |    85 |
| S060   | P020       | `LEVIS-511SL-XL-BLK`    | XL-BLK  | `{"size":"XL","color":"Black"}`   |   4,570 |       — |   120 |
| S061   | P021       | `ALLENS-ASOXR-S-BLK`    | S-BLK   | `{"size":"S","color":"Black"}`    |   1,220 |       — |    67 |
| S062   | P021       | `ALLENS-ASOXR-M-BLK`    | M-BLK   | `{"size":"M","color":"Black"}`    |   1,220 |       — |   116 |
| S063   | P021       | `ALLENS-ASOXR-L-BLK`    | L-BLK   | `{"size":"L","color":"Black"}`    |   1,220 |   1,040 |   121 |
| S064   | P021       | `ALLENS-ASOXR-XL-BLK`   | XL-BLK  | `{"size":"XL","color":"Black"}`   |   1,220 |       — |    14 |
| S065   | P022       | `PETEREN-PEFSH-S-BLK`   | S-BLK   | `{"size":"S","color":"Black"}`    |   2,580 |       — |    98 |
| S066   | P022       | `PETEREN-PEFSH-M-BLK`   | M-BLK   | `{"size":"M","color":"Black"}`    |   2,580 |       — |    58 |
| S067   | P022       | `PETEREN-PEFSH-L-BLK`   | L-BLK   | `{"size":"L","color":"Black"}`    |   2,580 |   2,190 |     5 |
| S068   | P022       | `PETEREN-PEFSH-XL-BLK`  | XL-BLK  | `{"size":"XL","color":"Black"}`   |   2,580 |       — |    98 |
| S069   | P023       | `RAYMOND-RFT-S-BLK`     | S-BLK   | `{"size":"S","color":"Black"}`    |   6,050 |       — |    99 |
| S070   | P023       | `RAYMOND-RFT-M-BLK`     | M-BLK   | `{"size":"M","color":"Black"}`    |   6,050 |       — |    98 |
| S071   | P023       | `RAYMOND-RFT-L-BLK`     | L-BLK   | `{"size":"L","color":"Black"}`    |   6,050 |       — |   137 |
| S072   | P023       | `RAYMOND-RFT-XL-BLK`    | XL-BLK  | `{"size":"XL","color":"Black"}`   |   6,050 |   4,960 |   133 |
| S073   | P024       | `UNIQLO-UQT-M`          | M       | `{"size":"M"}`                    |   6,270 |       — |   131 |
| S074   | P024       | `UNIQLO-UQT-L`          | L       | `{"size":"L"}`                    |   6,270 |       — |    30 |
| S075   | P024       | `UNIQLO-UQT-XL`         | XL      | `{"size":"XL"}`                   |   6,270 |       — |    22 |
| S076   | P025       | `ZARA-ZRBL-S-BLK`       | S-BLK   | `{"size":"S","color":"Black"}`    |     970 |     820 |   100 |
| S077   | P025       | `ZARA-ZRBL-M-BLK`       | M-BLK   | `{"size":"M","color":"Black"}`    |     970 |       — |   119 |
| S078   | P025       | `ZARA-ZRBL-L-BLK`       | L-BLK   | `{"size":"L","color":"Black"}`    |     970 |       — |   140 |
| S079   | P025       | `ZARA-ZRBL-XL-BLK`      | XL-BLK  | `{"size":"XL","color":"Black"}`   |     970 |       — |    88 |
