Yes. The clean way to model this is:

**L0 Category → L1 Category → Attribute Definitions → Product Attribute Mapping → SKU Variant Values**

So the **category defines which attributes are allowed**, the **product declares which of those attributes it uses**, and the **SKU stores the variant-specific value** in `sku_attributes` JSONB.

`*` below means the attribute is a **SKU/variant attribute**.

# 1. Category Attribute Definitions

## Electronics — Category ID 1

| L1 ID | Category             | Attributes                                              |
| P027    | FabIndia Cotton Kurta          | Size*, Color*, Material, Fit |
| P028    | Manyavar Embroidered Kurta     | Size*, Color*, Material, Fit |
| P029    | W for Woman Straight Kurta Set | Size*, Color*, Material, Fit |

### Men's Clothing — Category 12

| Product | Product Name                       | Attributes                   |
| ------- | ---------------------------------- | ---------------------------- |
| P020    | Levi's 511 Slim Jeans              | Size*, Color*, Material, Fit |
| P021    | Allen Solly Slim Fit Oxford Shirt  | Size*, Color*, Material, Fit |
| P022    | Peter England Regular Formal Shirt | Size*, Color*, Material, Fit |
| P023    | Raymond Classic Formal Trousers    | Size*, Color*, Material, Fit |

### Accessories — Category 13

| Product | Product Name                   | Attributes              |
| ------- | ------------------------------ | ----------------------- |
| P034    | Ray-Ban Aviator Classic        | Color*, Size*, Material |
| P035    | Van Heusen Leather Finish Belt | Size*, Color, Material  |
| P036    | Uniqlo Round Mini Shoulder Bag | Color*, Size, Material  |
| P037    | Nike Heritage Backpack         | Color*, Size, Material  |
| P038    | Adidas Classic 3S Cap          | Size*, Color, Material  |

### Footwear — Category 14

| Product | Product Name                  | Attributes                              |
| ------- | ----------------------------- | --------------------------------------- |
| P030    | Nike Air Max 270              | Size (US)*, Color*, Material, Shoe Type |
| P031    | Adidas Ultraboost Light       | Size (US)*, Color*, Material, Shoe Type |
| P032    | Puma Velocity Nitro 3         | Size (US)*, Color*, Material, Shoe Type |
| P033    | The North Face VECTIV Enduris | Size (US)*, Color*, Material, Shoe Type |

---

# Home & Kitchen

### Kitchenware — Category 16

| Product | Product Name                       | Attributes                       |
| ------- | ---------------------------------- | -------------------------------- |
| P053    | Butterfly Rapid 3 Burner Gas Stove | Size, Capacity, Material, Color  |
| P054    | Crompton Steel Essential Kettle    | Size, Capacity*, Material, Color |
| P055    | Wonderchef Granite Fry Pan         | Size*, Capacity, Material, Color |
| P056    | Prestige Omega Deluxe Pan          | Size*, Capacity, Material, Color |
| P057    | Hawkins Futura Nonstick Tawa       | Size*, Capacity, Material, Color |

### Furniture — Category 17

| Product | Product Name             | Attributes                   |
| ------- | ------------------------ | ---------------------------- |
| P039    | IKEA MALM 6-Drawer Chest | Color*, Material, Dimensions |
| P040    | IKEA LACK Coffee Table   | Color*, Material, Dimensions |
| P041    | IKEA BILLY Bookcase      | Color*, Material, Dimensions |

### Home Appliances — Category 18

| Product | Product Name                   | Attributes                          |
| ------- | ------------------------------ | ----------------------------------- |
| P043    | Dyson V15 Detect               | Capacity, Color, Power Consumption  |
| P048    | LG 6.5kg Front Load Washer     | Capacity*, Color, Power Consumption |
| P049    | Bosch 8kg Front Load Washer    | Capacity*, Color, Power Consumption |
| P050    | Bajaj Maharaja Tower Fan       | Capacity, Color*, Power Consumption |
| P051    | Havells Aqua Plus Water Heater | Capacity*, Color, Power Consumption |
| P052    | Usha Mist Air Icy Fan          | Capacity, Color*, Power Consumption |

### Kitchen Appliances — Category 19

| Product | Product Name                    | Attributes                          |
| ------- | ------------------------------- | ----------------------------------- |
| P042    | Philips Airfryer 3000 Series    | Capacity*, Color, Power Consumption |
| P044    | Bosch Serie 4 Dishwasher        | Capacity*, Color, Power Consumption |
| P045    | Prestige Air Fryer Pro          | Capacity*, Color, Power Consumption |
| P046    | Hawkins Contura Pressure Cooker | Capacity*, Color, Power Consumption |
| P047    | KENT Grand RO Water Purifier    | Capacity, Color, Power Consumption  |

---

# Beauty & Personal Care

### Skincare — Category 21

| Product | Product Name                           | Attributes                             |
| ------- | -------------------------------------- | -------------------------------------- |
| P058    | The Ordinary Niacinamide 10% + Zinc 1% | Skin Type, Ingredient, Pack Size, SPF  |
| P059    | Nivea Soft Moisturizing Cream          | Skin Type, Ingredient, Pack Size*, SPF |
| P060    | Clinique Moisture Surge 100H           | Skin Type, Ingredient, Pack Size*, SPF |
| P061    | Neutrogena Hydro Boost Water Gel       | Skin Type, Ingredient, Pack Size*, SPF |
| P062    | Mamaearth Vitamin C Face Serum         | Skin Type, Ingredient, Pack Size, SPF  |
| P063    | Minimalist 2% Salicylic Acid Serum     | Skin Type, Ingredient, Pack Size, SPF  |
| P064    | Forest Essentials Facial Tonic Mist    | Skin Type, Ingredient, Pack Size*, SPF |
| P065    | Plum Green Tea Face Wash               | Skin Type, Ingredient, Pack Size*, SPF |

### Grooming — Category 22

| Product | Product Name                    | Attributes                        |
| ------- | ------------------------------- | --------------------------------- |
| P074    | Nivea Men Sensitive Shaving Gel | Pack Size*, Skin Type, Ingredient |
| P075    | Nykaa ManGlow Beard Wash        | Pack Size*, Skin Type, Ingredient |
| P076    | Plum Green Tea Shave Gel        | Pack Size*, Skin Type, Ingredient |

### Makeup — Category 23

| Product | Product Name                         | Attributes                |
| ------- | ------------------------------------ | ------------------------- |
| P066    | L'Oréal True Match Foundation        | Shade*, Finish, Skin Type |
| P067    | Maybelline Fit Me Foundation         | Shade*, Finish, Skin Type |
| P068    | Lakmé 9to5 Primer + Matte Lip Color  | Shade*, Finish, Skin Type |
| P069    | Nykaa SkinGenius Foundation          | Shade*, Finish, Skin Type |
| P070    | Biotique Bio Coconut Whitening Cream | Shade*, Finish, Skin Type |

### Hair Care — Category 24

| Product | Product Name                   | Attributes                        |
| ------- | ------------------------------ | --------------------------------- |
| P071    | Dove Intense Repair Shampoo    | Pack Size*, Hair Type, Ingredient |
| P072    | L'Oréal Absolut Repair Shampoo | Pack Size*, Hair Type, Ingredient |
| P073    | Mamaearth Onion Hair Oil       | Pack Size*, Hair Type, Ingredient |

---

# Sports & Fitness

### Gym Equipment — Category 26

| Product | Product Name                      | Attributes                     |
| ------- | --------------------------------- | ------------------------------ |
| P081    | Decathlon 500 Adjustable Dumbbell | Weight, Material, Size, Color  |
| P082    | Nivia Hex Dumbbell 10kg           | Weight, Material, Size, Color  |
| P083    | Cosco Resistance Tube Set         | Weight, Material, Size, Color  |
| P084    | Vector X Power Training Gloves    | Weight, Material, Size*, Color |

### Yoga — Category 27

| Product | Product Name             | Attributes             |
| ------- | ------------------------ | ---------------------- |
| P085    | Decathlon Basic Yoga Mat | Color*, Material, Size |
| P086    | Nivia TPE Yoga Mat       | Color*, Material, Size |
| P087    | Cosco Yoga Block Pair    | Color*, Material, Size |

### Running — Category 28

| Product | Product Name                   | Attributes                                |
| ------- | ------------------------------ | ----------------------------------------- |
| P077    | Under Armour Charged Assert 10 | Size (US)*, Color*, Cushioning, Shoe Type |
| P078    | Decathlon Kalenji Run Comfort  | Size (US)*, Color*, Cushioning, Shoe Type |
| P079    | Nivia Running Shoes Racer      | Size (US)*, Color*, Cushioning, Shoe Type |
| P080    | Vector X Sprint Running Shoes  | Size (US)*, Color*, Cushioning, Shoe Type |

### Outdoor — Category 29

| Product | Product Name                          | Attributes                         |
| ------- | ------------------------------------- | ---------------------------------- |
| P088    | Wilson Pro Staff 97 Tennis Racket     | Size, Material, Color, Sport Type  |
| P089    | Yonex Astrox 100ZZ                    | Size, Material, Color, Sport Type  |
| P090    | SS Skyer Cricket Bat                  | Size*, Material, Color, Sport Type |
| P091    | SG Players English Willow Bat         | Size*, Material, Color, Sport Type |
| P092    | Decathlon Quechua Hiking Backpack 40L | Size, Material, Color*, Sport Type |
| P093    | Nivia Storm Football                  | Size, Material, Color, Sport Type  |
| P094    | Cosco Club Volleyball                 | Size, Material, Color, Sport Type  |
| P095    | Wilson NBA Official Basketball        | Size*, Material, Color, Sport Type |

---

# Books & Stationery

### Non-Fiction — Category 31

| Product | Product Name        | Attributes                                  |
| ------- | ------------------- | ------------------------------------------- |
| P100    | Atomic Habits       | Format*, Language, Publication Year, Author |
| P101    | The Lean Startup    | Format*, Language, Publication Year, Author |
| P102    | Sapiens Study Guide | Format*, Language, Publication Year, Author |

### Technology — Category 32

| Product | Product Name                          | Attributes                                  |
| ------- | ------------------------------------- | ------------------------------------------- |
| P103    | Clean Code                            | Format*, Language, Publication Year, Author |
| P104    | Designing Data-Intensive Applications | Format*, Language, Publication Year, Author |
| P105    | Cracking the Coding Interview         | Format*, Language, Publication Year, Author |
| P106    | Java Programming Complete             | Format*, Language, Publication Year, Author |
| P107    | Data Structures in C                  | Format*, Language, Publication Year, Author |
| P108    | Python for Competitive Programming    | Format*, Language, Publication Year, Author |

### Notebooks & Supplies — Category 33

| Product | Product Name                         | Attributes                           |
| ------- | ------------------------------------ | ------------------------------------ |
| P109    | Moleskine Classic Notebook Large     | Size, Color*, Paper Type, Page Count |
| P110    | Crossword Premium Ruled Notebook     | Size, Color*, Paper Type, Page Count |
| P111    | Rupa Executive Journal               | Size, Color*, Paper Type, Page Count |
| P112    | S. Chand Graph Paper Notebook        | Size, Color, Paper Type, Page Count  |
| P113    | Arihant Exam Planner Notebook        | Size*, Color, Paper Type, Page Count |
| P114    | Penguin Random House Reading Journal | Size, Color, Paper Type, Page Count  |

### Fiction — Category 34

| Product | Product Name         | Attributes                                  |
| ------- | -------------------- | ------------------------------------------- |
| P096    | The Midnight Library | Format*, Language, Publication Year, Author |
| P097    | 1984                 | Format*, Language, Publication Year, Author |
| P098    | The Silent Patient   | Format*, Language, Publication Year, Author |
| P099    | Mahabharata          | Format*, Language, Publication Year, Author |

---

# Grocery

### Pantry — Category 36

| Product | Product Name              | Attributes                           |
| ------- | ------------------------- | ------------------------------------ |
| P129    | Fortune Sunflower Oil     | Pack Size*, Vegetarian, Brand Origin |
| P130    | Patanjali Dalia           | Pack Size*, Vegetarian, Brand Origin |
| P131    | Kissan Tomato Ketchup     | Pack Size*, Vegetarian, Brand Origin |
| P132    | Amul Pure Ghee            | Pack Size*, Vegetarian, Brand Origin |
| P133    | Mother Dairy Paneer Fresh | Pack Size*, Vegetarian, Brand Origin |

### Beverages — Category 37

| Product | Product Name            | Attributes                        |
| ------- | ----------------------- | --------------------------------- |
| P115    | Nescafé Classic Coffee  | Pack Size*, Beverage Type, Flavor |
| P116    | Coca-Cola Original      | Pack Size*, Beverage Type, Flavor |
| P117    | Amul Taaza Milk         | Pack Size*, Beverage Type, Flavor |
| P118    | Tata Tea Gold           | Pack Size*, Beverage Type, Flavor |
| P119    | Mother Dairy Toned Milk | Pack Size*, Beverage Type, Flavor |

### Snacks — Category 38

| Product | Product Name                      | Attributes                     |
| ------- | --------------------------------- | ------------------------------ |
| P120    | Britannia Good Day Cashew Cookies | Pack Size*, Flavor, Vegetarian |
| P121    | Parle Hide & Seek Biscuits        | Pack Size*, Flavor, Vegetarian |
| P122    | ITC Sunfeast Dark Fantasy         | Pack Size*, Flavor, Vegetarian |
| P123    | Nestlé Munch Chocolate Bar        | Pack Size*, Flavor, Vegetarian |
| P124    | Dabur Real Fruit Drink            | Pack Size*, Flavor, Vegetarian |

### Breakfast — Category 39

| Product | Product Name                | Attributes                          |
| ------- | --------------------------- | ----------------------------------- |
| P125    | Kellogg's Corn Flakes       | Pack Size*, Ingredients, Vegetarian |
| P126    | MTR 3 Minute Breakfast Poha | Pack Size*, Ingredients, Vegetarian |
| P127    | Aashirvaad Multigrain Atta  | Pack Size*, Ingredients, Vegetarian |
| P128    | Tata Sampann Poha           | Pack Size*, Ingredients, Vegetarian |

---

# Automotive

### Car Accessories — Category 41

| Product | Product Name                 | Attributes                            |
| ------- | ---------------------------- | ------------------------------------- |
| P134    | 3M Car Care Microfiber Cloth | Color, Size*, Material, Compatibility |
| P135    | Bosch India Car Air Filter   | Color, Size, Material, Compatibility  |
| P136    | TVS Car Battery Charger      | Color, Size, Material, Compatibility  |
| P137    | CEAT Tubeless Valve Kit      | Color, Size, Material, Compatibility  |
| P149    | 3M 12V Car Vacuum Cleaner    | Color*, Size, Material, Compatibility |
| P150    | TVS Portable Tyre Inflator   | Color, Size, Material, Compatibility  |

### Replacement Parts — Category 42

| Product | Product Name                    | Attributes                              |
| ------- | ------------------------------- | --------------------------------------- |
| P142    | Michelin Energy XM2+ Tyre       | Size*, Vehicle Compatibility, Part Type |
| P143    | MRF Perfinza Tyre               | Size*, Vehicle Compatibility, Part Type |
| P144    | Apollo Alnac 4G Tyre            | Size*, Vehicle Compatibility, Part Type |
| P145    | CEAT Milaze Tyre                | Size*, Vehicle Compatibility, Part Type |
| P146    | TVS Eco Grip 2W Tyre            | Size*, Vehicle Compatibility, Part Type |
| P147    | Bosch India Platinum Spark Plug | Size, Vehicle Compatibility, Part Type  |
| P148    | CEAT Car Brake Pad Set          | Size, Vehicle Compatibility, Part Type  |

### Car Care — Category 43

| Product | Product Name                   | Attributes                             |
| ------- | ------------------------------ | -------------------------------------- |
| P138    | Castrol Magnatec 5W-30         | Pack Size*, Product Type, Suitable For |
| P139    | Motul 8100 X-Cess 5W-40        | Pack Size*, Product Type, Suitable For |
| P140    | Gulf Oil Formula G 5W-30       | Pack Size*, Product Type, Suitable For |
| P141    | 3M Perfect-It Rubbing Compound | Pack Size*, Product Type, Suitable For |
| P151    | Castrol Engine Flush           | Pack Size*, Product Type, Suitable For |
| P152    | Motul Chain Clean              | Pack Size*, Product Type, Suitable For |

---

# 3. How This Maps to Your Existing SKU JSONB

The important part is that **not every attribute belongs in `sku_attributes`**.

For example:

### P001 — iPhone 17

Product attributes:

```text
Color*
Storage*
RAM
Screen Size
Camera
```

The SKU carries only the variant attributes:

```json
{
  "color": "Black",
  "storage": "128GB"
}
```

Then:

```text
APPLE-IP17-BLK-128
APPLE-IP17-BLK-256
APPLE-IP17-SLV-128
APPLE-IP17-SLV-256
```

### P030 — Nike Air Max 270

Product attributes:

```text
Size (US)*
Color*
Material
Shoe Type
```

SKU:

```json
{
  "color": "Black",
  "size_us": "8"
}
```

### P067 — Maybelline Fit Me Foundation

Product attributes:

```text
Shade*
Finish
Skin Type
```

SKU:

```json
{
  "shade": "110 Porcelain"
}
```

### P103 — Clean Code

Product attributes:

```text
Format*
Language
Publication Year
Author
```

SKU:

```json
{
  "format": "Paperback"
}
```

### P116 — Coca-Cola Original

Product attributes:

```text
Pack Size*
Beverage Type
Flavor
```

SKU:

```json
{
  "pack_size": "300ml"
}
```

---

# 4. Recommended Database Structure

For your NexusEngine catalog, I would structure the relationship like this:

```text
category
   │
   ├── parent category
   │
   └── child category
          │
          ▼
   attribute_category
          │
          ▼
      attribute
          │
          ▼
   category_attribute
          │
          ▼
       product
          │
          ├── product_attribute
          │
          ▼
         sku
          │
          └── sku_attributes JSONB
```

So you get:

```text
Electronics
    ↓
Smartphones
    ↓
Smartphone Specs
    ↓
Color
Storage
    ↓
iPhone 17
    ↓
SKU
APPLE-IP17-BLK-128
    ↓
{
  "color": "Black",
  "storage": "128GB"
}
```

This is preferable to creating separate database columns such as `color`, `storage`, `size`, `shade`, `pack_size`, etc. on the SKU table, because your catalog has **different attribute combinations across categories**.

### One important correction to the earlier seed

Your **L0 categories should not themselves have product attributes or SKU attributes**. They act as parents. The attribute definitions should primarily be attached to the relevant **L1 category**, with products inheriting those definitions. That matches the category hierarchy you provided much better.
