              table_name              |          column_name           
 pg_stat_activity                     | wait_event_type
 pg_stat_activity                     | wait_event
 pg_stat_activity                     | state
 pg_stat_activity                     | query
 pg_stat_activity                     | backend_type
 pg_stat_replication                  | application_name
 pg_stat_replication                  | client_hostname
 pg_stat_replication                  | state
 pg_stat_replication                  | sync_state
 pg_stat_slru                         | name
 pg_stat_wal_receiver                 | status
 pg_stat_wal_receiver                 | slot_name
 pg_stat_wal_receiver                 | sender_host
 pg_stat_wal_receiver                 | conninfo
 pg_stat_subscription                 | worker_type
 pg_stat_ssl                          | version
 pg_stat_ssl                          | cipher
 pg_stat_ssl                          | client_dn
 pg_stat_ssl                          | issuer_dn
 pg_stat_gssapi                       | principal
 pg_replication_slots                 | slot_type
 pg_replication_slots                 | wal_status
 pg_replication_slots                 | invalidation_reason
 pg_stat_replication_slots            | slot_name
 pg_stat_archiver                     | last_archived_wal
 pg_stat_archiver                     | last_failed_wal
 pg_stat_io                           | backend_type
 pg_stat_io                           | object
 pg_stat_io                           | context
 pg_stat_progress_analyze             | phase
 pg_stat_progress_vacuum              | phase
 pg_stat_progress_cluster             | command
 pg_stat_progress_cluster             | phase
 pg_stat_progress_create_index        | command
 pg_stat_progress_create_index        | phase
 pg_stat_progress_basebackup          | phase
 pg_stat_progress_copy                | command
 pg_stat_progress_copy                | type
 pg_replication_origin_status         | external_id
 pg_subscription                      | subsynccommit
 pg_subscription                      | suborigin
 pg_wait_events                       | type
 pg_wait_events                       | name
 pg_wait_events                       | description
 applicable_roles                     | is_grantable
 administrable_role_authorizations    | is_grantable
 attributes                           | attribute_default
 attributes                           | is_nullable
 attributes                           | data_type
 attributes                           | interval_type
 attributes                           | is_derived_reference_attribute
 check_constraints                    | check_clause
 collations                           | pad_attribute
 column_privileges                    | privilege_type
 column_privileges                    | is_grantable
 columns                              | column_default
 columns                              | is_nullable
 columns                              | data_type
 columns                              | interval_type
 columns                              | is_self_referencing
 columns                              | is_identity
 columns                              | identity_generation
 columns                              | identity_start
 columns                              | identity_increment
 columns                              | identity_maximum
 columns                              | identity_minimum
 columns                              | identity_cycle
 columns                              | is_generated
 columns                              | generation_expression
 columns                              | is_updatable
 domain_constraints                   | is_deferrable
 domain_constraints                   | initially_deferred
 domains                              | data_type
 domains                              | interval_type
 domains                              | domain_default
 parameters                           | parameter_mode
 parameters                           | is_result
 parameters                           | as_locator
 parameters                           | data_type
 parameters                           | interval_type
 parameters                           | parameter_default
 referential_constraints              | match_option
 referential_constraints              | update_rule
 referential_constraints              | delete_rule
 role_column_grants                   | privilege_type
 role_column_grants                   | is_grantable
 routine_privileges                   | privilege_type
 routine_privileges                   | is_grantable
 role_routine_grants                  | privilege_type
 role_routine_grants                  | is_grantable
 routines                             | routine_type
 routines                             | data_type
 routines                             | interval_type
 routines                             | routine_body
 routines                             | routine_definition
 routines                             | external_name
 routines                             | external_language
 routines                             | parameter_style
 routines                             | is_deterministic
 routines                             | sql_data_access
 routines                             | is_null_call
 routines                             | sql_path
 routines                             | schema_level_routine
 routines                             | is_user_defined_cast
 routines                             | is_implicitly_invocable
 routines                             | security_type
 routines                             | as_locator
 routines                             | new_savepoint_level
 routines                             | is_udt_dependent
 routines                             | result_cast_from_data_type
 routines                             | result_cast_as_locator
 routines                             | result_cast_interval_type
 schemata                             | sql_path
 sequences                            | data_type
 sequences                            | start_value
 sequences                            | minimum_value
 sequences                            | maximum_value
 sequences                            | increment
 sequences                            | cycle_option
 sql_features                         | feature_id
 sql_features                         | feature_name
 sql_features                         | sub_feature_id
 sql_features                         | sub_feature_name
 sql_features                         | is_supported
 sql_features                         | is_verified_by
 sql_features                         | comments
 sql_implementation_info              | implementation_info_id
 sql_implementation_info              | implementation_info_name
 sql_implementation_info              | character_value
 sql_implementation_info              | comments
 sql_parts                            | feature_id
 sql_parts                            | feature_name
 sql_parts                            | is_supported
 sql_parts                            | is_verified_by
 sql_parts                            | comments
 sql_sizing                           | sizing_name
 sql_sizing                           | comments
 table_constraints                    | constraint_type
 table_constraints                    | is_deferrable
 table_constraints                    | initially_deferred
 table_constraints                    | enforced
 table_constraints                    | nulls_distinct
 table_privileges                     | privilege_type
 table_privileges                     | is_grantable
 table_privileges                     | with_hierarchy
 role_table_grants                    | privilege_type
 role_table_grants                    | is_grantable
 role_table_grants                    | with_hierarchy
 tables                               | table_type
 tables                               | reference_generation
 tables                               | is_insertable_into
 tables                               | is_typed
 tables                               | commit_action
 transforms                           | transform_type
 triggers                             | event_manipulation
 triggers                             | action_condition
 triggers                             | action_statement
 triggers                             | action_orientation
 triggers                             | action_timing
 udt_privileges                       | privilege_type
 udt_privileges                       | is_grantable
 role_udt_grants                      | privilege_type
 role_udt_grants                      | is_grantable
 usage_privileges                     | object_type
 usage_privileges                     | privilege_type
 usage_privileges                     | is_grantable
 role_usage_grants                    | object_type
 role_usage_grants                    | privilege_type
 role_usage_grants                    | is_grantable
 user_defined_types                   | user_defined_type_category
 user_defined_types                   | is_instantiable
 user_defined_types                   | is_final
 user_defined_types                   | ordering_form
 user_defined_types                   | ordering_category
 user_defined_types                   | reference_type
 user_defined_types                   | data_type
 user_defined_types                   | interval_type
 views                                | view_definition
 views                                | check_option
 views                                | is_updatable
 views                                | is_insertable_into
 views                                | is_trigger_updatable
 views                                | is_trigger_deletable
 views                                | is_trigger_insertable_into
 data_type_privileges                 | object_type
 element_types                        | object_type
 element_types                        | data_type
 element_types                        | interval_type
 column_options                       | option_value
 _pg_foreign_data_wrappers            | foreign_data_wrapper_language
 foreign_data_wrapper_options         | option_value
 foreign_data_wrappers                | library_name
 foreign_data_wrappers                | foreign_data_wrapper_language
 _pg_foreign_servers                  | foreign_server_type
 _pg_foreign_servers                  | foreign_server_version
 foreign_server_options               | option_value
 foreign_servers                      | foreign_server_type
 foreign_servers                      | foreign_server_version
 foreign_table_options                | option_value
 user_mapping_options                 | option_value
 cms_help_category                    | icon
 cms_help_category                    | name
 cms_member_report                    | note
 cms_member_report                    | report_member_name
 cms_member_report                    | report_object
 cms_prefrence_area                   | name
 cms_prefrence_area                   | sub_title
 cms_subject                          | album_pics
 cms_subject                          | category_name
 cms_subject                          | content
 cms_subject                          | description
 cms_subject                          | pic
 cms_subject                          | title
 cms_subject_category                 | icon
 cms_subject_category                 | name
 cms_subject_comment                  | content
 cms_subject_comment                  | member_icon
 cms_subject_comment                  | member_nick_name
 cms_topic                            | attend_type
 cms_topic                            | award_name
 cms_topic                            | content
 cms_topic                            | name
 cms_topic_category                   | icon
 cms_topic_category                   | name
 cms_topic_comment                    | content
 cms_topic_comment                    | member_icon
 cms_topic_comment                    | member_nick_name
 oms_cart_item                        | member_nickname
 oms_cart_item                        | product_attr
 oms_cart_item                        | product_brand
 oms_cart_item                        | product_name
 oms_cart_item                        | product_pic
 oms_cart_item                        | product_sku_code
 oms_cart_item                        | product_sn
 oms_cart_item                        | product_sub_title
 oms_company_address                  | address_name
 oms_company_address                  | city
 oms_company_address                  | detail_address
 oms_company_address                  | name
 oms_company_address                  | phone
 oms_company_address                  | province
 oms_company_address                  | region
 oms_order                            | bill_content
 oms_order                            | bill_header
 oms_order                            | bill_receiver_email
 oms_order                            | bill_receiver_phone
 oms_order                            | delivery_company
 oms_order                            | delivery_sn
 oms_order                            | member_username
 oms_order                            | note
 oms_order                            | order_sn
 oms_order                            | promotion_info
 oms_order                            | receiver_city
 oms_order                            | receiver_detail_address
 oms_order                            | receiver_name
 oms_order                            | receiver_phone
 oms_order                            | receiver_post_code
 oms_order                            | receiver_province
 oms_order                            | receiver_region
 oms_order_item                       | order_sn
 oms_order_item                       | product_attr
 oms_order_item                       | product_brand
 oms_order_item                       | product_name
 oms_order_item                       | product_pic
 oms_order_item                       | product_sku_code
 oms_order_item                       | product_sn
 oms_order_item                       | promotion_name
 oms_order_operate_history            | note
 oms_order_operate_history            | operate_man
 oms_order_return_apply               | description
 oms_order_return_apply               | handle_man
 oms_order_return_apply               | handle_note
 oms_order_return_apply               | member_username
 oms_order_return_apply               | order_sn
 oms_order_return_apply               | product_attr
 oms_order_return_apply               | product_brand
 oms_order_return_apply               | product_name
 oms_order_return_apply               | product_pic
 oms_order_return_apply               | proof_pics
 oms_order_return_apply               | reason
 oms_order_return_apply               | receive_man
 oms_order_return_apply               | receive_note
 oms_order_return_apply               | return_name
 oms_order_return_apply               | return_phone
 oms_order_return_reason              | name
 pms_album                            | cover_pic
 pms_album                            | description
 pms_album                            | name
 pms_album_pic                        | pic
 pms_brand                            | big_pic
 pms_brand                            | brand_story
 pms_brand                            | first_letter
 pms_brand                            | logo
 pms_brand                            | name
 pms_comment                          | content
 pms_comment                          | member_icon
 pms_comment                          | member_ip
 pms_comment                          | member_nick_name
 pms_comment                          | pics
 pms_comment                          | product_attribute
 pms_comment                          | product_name
 pms_comment_replay                   | content
 pms_comment_replay                   | member_icon
 pms_comment_replay                   | member_nick_name
 pms_feight_template                  | dest
 pms_feight_template                  | name
 pms_member_price                     | member_level_name
 pms_product                          | album_pics
 pms_product                          | brand_name
 pms_product                          | description
 pms_product                          | detail_desc
 pms_product                          | detail_html
 pms_product                          | detail_mobile_html
 pms_product                          | detail_title
 pms_product                          | keywords
 pms_product                          | name
 pms_product                          | note
 pms_product                          | pic
 pms_product                          | product_category_name
 pms_product                          | product_sn
 pms_product                          | service_ids
 pms_product                          | sub_title
 pms_product                          | unit
 pms_product_attribute                | input_list
 pms_product_attribute                | name
 pms_product_attribute_category       | name
 pms_product_attribute_value          | value
 pms_product_category                 | description
 pms_product_category                 | icon
 pms_product_category                 | keywords
 pms_product_category                 | name
 pms_product_category                 | product_unit
 pms_product_operate_log              | operate_man
 pms_product_vertify_record           | detail
 pms_product_vertify_record           | vertify_man
 pms_sku_stock                        | pic
 pms_sku_stock                        | sku_code
 pms_sku_stock                        | sp_data
 sms_coupon                           | code
 sms_coupon                           | name
 sms_coupon                           | note
 sms_coupon_history                   | coupon_code
 sms_coupon_history                   | member_nickname
 sms_coupon_history                   | order_sn
 sms_coupon_product_category_relation | parent_category_name
 sms_coupon_product_category_relation | product_category_name
 sms_coupon_product_relation          | product_name
 sms_coupon_product_relation          | product_sn
 sms_flash_promotion                  | title
 sms_flash_promotion_log              | member_phone
 sms_flash_promotion_log              | product_name
 sms_flash_promotion_session          | name
 sms_home_advertise                   | name
 sms_home_advertise                   | note
 sms_home_advertise                   | pic
 sms_home_advertise                   | url
 sms_home_brand                       | brand_name
 sms_home_new_product                 | product_name
 sms_home_recommend_product           | product_name
 sms_home_recommend_subject           | subject_name
 ums_admin                            | email
 ums_admin                            | icon
 ums_admin                            | nick_name
 ums_admin                            | note
 ums_admin                            | password
 ums_admin                            | username
 ums_admin_login_log                  | address
 ums_admin_login_log                  | ip
 ums_admin_login_log                  | user_agent
 ums_growth_change_history            | operate_man
 ums_growth_change_history            | operate_note
 ums_integration_change_history       | operate_man
 ums_integration_change_history       | operate_note
 ums_member                           | city
 ums_member                           | icon
 ums_member                           | job
 ums_member                           | nickname
 ums_member                           | password
 ums_member                           | personalized_signature
 ums_member                           | phone
 ums_member                           | username
 ums_member_level                     | name
 ums_member_level                     | note
 ums_member_login_log                 | city
 ums_member_login_log                 | ip
 ums_member_login_log                 | province
 ums_member_receive_address           | city
 ums_member_receive_address           | detail_address
 ums_member_receive_address           | name
 ums_member_receive_address           | phone_number
 ums_member_receive_address           | post_code
 ums_member_receive_address           | province
 ums_member_receive_address           | region
 ums_member_tag                       | name
 ums_member_task                      | name
 ums_menu                             | icon
 ums_menu                             | name
 ums_menu                             | title
 ums_permission                       | icon
 ums_permission                       | name
 ums_permission                       | uri
 ums_permission                       | value
 ums_resource                         | description
 ums_resource                         | name
 ums_resource                         | url
 ums_resource_category                | name
 ums_role                             | description
 ums_role                             | name
 outbox_event                         | aggregate_id
 outbox_event                         | aggregate_type
 outbox_event                         | payload
 outbox_event                         | status
 outbox_event                         | type
(516 rows)

